No GPU on this node, CUDA module not loaded
         103261 function calls (100735 primitive calls) in 369.667 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1490    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.004    0.004 _globals.py:1(<module>)
    45/12    0.000    0.000    0.004    0.000 typing.py:1294(__getitem__)
        1    0.000    0.000    0.004    0.004 bz2.py:1(<module>)
      236    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        1    0.000    0.000    0.004    0.004 core.py:1(<module>)
        2    0.000    0.000    0.004    0.002 polynomial.py:1(<module>)
      134    0.000    0.000    0.003    0.000 __init__.py:280(_compile)
      537    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      605    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.003    0.003 base64.py:1(<module>)
       13    0.000    0.000    0.003    0.000 _compiler.py:745(compile)
      264    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:632(cached)
       10    0.000    0.000    0.003    0.000 __init__.py:226(compile)
      146    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
        1    0.000    0.000    0.003    0.003 lzma.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:1(<module>)
      334    0.001    0.000    0.003    0.000 functools.py:35(update_wrapper)
       14    0.000    0.000    0.003    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
       39    0.000    0.000    0.003    0.000 typing.py:521(__getitem__)
        2    0.000    0.000    0.003    0.001 function_base.py:1(<module>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1326(_determine_new_args)
    45/12    0.000    0.000    0.002    0.000 typing.py:1355(_make_substitution)
        1    0.000    0.000    0.002    0.002 utils.py:1(<module>)
       39    0.000    0.000    0.002    0.000 typing.py:753(Literal)
      537    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
7869/7827    0.002    0.000    0.002    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.002    0.002 _ufunc_config.py:1(<module>)
        1    0.001    0.001    0.002    0.002 getlimits.py:162(_register_known_types)
     1096    0.001    0.000    0.002    0.000 typing.py:1215(__setattr__)
    10976    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
