CuPy 13.6.0 | CUDA_PATH=/appl/cuda/11.8.0
GPU: NVIDIA A100 80GB PCIe MIG 2g.20gb | N=10

Time: 28.76s  |  2.876s/building
Estimated for all 4571: 3.65 h

building_id,mean_temp,std_temp,pct_above_18,pct_below_15
10000,14.012301445007324,6.367422580718994,30.941014791508444,55.542295034537624
10009,11.00022029876709,5.811121463775635,16.6712734948236,74.9723590310584
10014,14.744486808776855,7.0375189781188965,38.26367541377415,52.80837116508215
10019,14.735828399658203,7.030119895935059,38.150171412294895,52.92723370057273
10029,10.616019248962402,6.317334175109863,18.25563221896085,74.51301795448481
10031,12.50716495513916,6.278408050537109,24.044722033998173,66.39365995934361
10051,13.289047241210938,5.999082565307617,25.97693550756574,62.859923608050536
10053,11.366636276245117,6.261168479919434,19.9510754583921,72.41052538787024
10056,14.220141410827637,6.179457187652588,31.763454814173965,57.06174975667784
10064,12.717012405395508,6.9642205238342285,28.792343827502698,62.75688345539249
